pt,standard_pt
headache nos,headache
back pain nos,back pain
nausea nos,nausea
dizziness nos,dizziness
fatigue nos,fatigue
chest pain nos,chest pain
abdominal pain nos,abdominal pain
vomiting nos,vomiting
diarrhoea nos,diarrhoea
dyspnoea nos,dyspnoea
